iter	Logloss
0	0.5996249647
1	0.5316145957
2	0.4820578214
3	0.4486067082
4	0.4220948618
5	0.3991673171
6	0.3829350537
7	0.3692315609
8	0.359428618
9	0.3521261925
10	0.3425422719
11	0.3359294521
12	0.3311989885
13	0.3266133149
14	0.3210029583
15	0.3186686544
16	0.3156724941
17	0.3123647886
18	0.3084324094
19	0.3050143891
20	0.3022847148
21	0.3008794932
22	0.2985949734
23	0.2974655356
24	0.295258325
25	0.2939261873
26	0.2910620282
27	0.2894056075
28	0.2867333643
29	0.2852477169
30	0.2839348907
31	0.2823539683
32	0.2808951995
33	0.2793303443
34	0.2775659754
35	0.2763628113
36	0.2741849076
37	0.2732822349
38	0.2716638121
39	0.2707844374
40	0.2700677776
41	0.269301768
42	0.2682823303
43	0.2676149563
44	0.2668096786
45	0.266050459
46	0.2653867296
47	0.2644574376
48	0.2637414783
49	0.262724667
50	0.2611718447
51	0.2606044976
52	0.2600820048
53	0.2593816951
54	0.2589166364
55	0.2582035658
56	0.2576512478
57	0.2568030304
58	0.2563823063
59	0.2556131579
60	0.2544369345
61	0.2537067341
62	0.2531051351
63	0.2525394931
64	0.2518070128
65	0.2512498279
66	0.2502732261
67	0.2487011347
68	0.2480749802
69	0.2469415132
70	0.2463371012
71	0.2456019139
72	0.2450691154
73	0.2446281755
74	0.2441952038
75	0.2437224907
76	0.2432408948
77	0.2427762587
78	0.2416852286
79	0.2408719297
80	0.2400432649
81	0.2394470203
82	0.2386057407
83	0.2381598104
84	0.2376273303
85	0.2372439851
86	0.2364764979
87	0.235764956
88	0.2352330997
89	0.2346264759
90	0.23381683
91	0.2331474385
92	0.2323548573
93	0.231570969
94	0.2306959528
95	0.2299446322
96	0.2293988869
97	0.228426705
98	0.2280402208
99	0.2273588419
100	0.226692568
101	0.2261000293
102	0.2253273623
103	0.2248898292
104	0.2243608385
105	0.2236160791
106	0.222966376
107	0.2218116553
108	0.2207732909
109	0.2198029831
110	0.2193156555
111	0.2186174398
112	0.2181943425
113	0.2169841116
114	0.2164603593
115	0.2158108268
116	0.2150674575
117	0.2144818228
118	0.2141440529
119	0.2134686709
120	0.2131416791
121	0.2127270153
122	0.2122547133
123	0.2116603832
124	0.2108233686
125	0.2105002661
126	0.210077292
127	0.2094412258
128	0.2087072957
129	0.2083689605
130	0.2075989662
131	0.2072329015
132	0.2068436453
133	0.2065825728
134	0.2062935346
135	0.2056517889
136	0.205128019
137	0.2046564635
138	0.2039601382
139	0.2035150019
140	0.2031082299
141	0.2028250272
142	0.2023038151
143	0.2019835201
144	0.2014885097
145	0.2009516087
146	0.2003827668
147	0.1999819669
148	0.1994008257
149	0.1989001113
150	0.1984061468
151	0.1979817027
152	0.1977518773
153	0.1970333065
154	0.1964650588
155	0.195754443
156	0.1953472388
157	0.1946772745
158	0.1944312007
159	0.1938913271
160	0.1935139545
161	0.1931293087
162	0.1924812545
163	0.1921112888
164	0.1915805641
165	0.1912696385
166	0.1909697804
167	0.1904787269
168	0.1899474528
169	0.1895060093
170	0.1891425571
171	0.1887672343
172	0.1883883529
173	0.1881634767
174	0.1877845219
175	0.1874044951
176	0.1870491291
177	0.1866094274
178	0.1862191224
179	0.1858734693
180	0.1854141499
181	0.1849590312
182	0.184467594
183	0.1839749041
184	0.1835422697
185	0.1831044038
186	0.1828651089
187	0.1824159792
188	0.1822251913
189	0.1819205931
190	0.1815814694
191	0.1812963227
192	0.1808506992
193	0.180572007
194	0.1802646946
195	0.1797941206
196	0.1794337424
197	0.1790950376
198	0.1787539979
199	0.1784466121
